traitGene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	candidate_snp	SNP.PP.H4	hypr_posterior	hypr_regional_prob	hypr_candidate_snp	hypr_posterior_explainedBySnp
ENSG00000001167.14	6205	2.0723181125463e-15	0.259261738196312	5.78519631491876e-15	0.723752228418828	0.0169860333848498	rs9369290	0.248789435168657	0	0.0079	rs9369290	0.2752
ENSG00000002919.14	4883	2.25262781266615e-42	0.000457908456230096	4.91691474956144e-39	0.999497888712194	4.42028315710325e-05	rs138467395	1	0	0.0174	rs138467395	1
ENSG00000003393.14	3901	0.00413489987084395	0.582646217692982	0.00258839444659463	0.364683134683223	0.0459473533063562	rs59308963	0.140508404520896	3e-04	0.0126	rs59308963	0.1434
ENSG00000003400.14	4549	7.80069293903058e-05	0.0111580704264575	0.000669211652069409	0.0948304208023857	0.893264290189698	rs12620010	0.231525475699325	0.7922	0.9931	rs12620010	0.3882
ENSG00000005020.12	5271	1.55183191024114e-32	0.490738300313474	1.30802874960064e-32	0.413544317407599	0.0957173822789312	rs17156041	0.673151851894995	5e-04	0.0373	rs17156041	0.6855
ENSG00000005379.15	4413	0.0092736290331431	0.435701113154299	0.0107900433690428	0.506909187584299	0.0373260268592167	rs2189681	0.303065574266986	2e-04	0.0129	rs2189681	0.1829
ENSG00000006607.13	6215	8.93705765803819e-18	0.000489699888614316	1.82402485311663e-14	0.999461744776139	4.85553352258035e-05	rs76832527	0.795852036801978	0	0.0155	rs76832527	0.776
ENSG00000007080.10	6387	0.000494417051143803	0.209841000545518	0.00178857107055773	0.759078401716003	0.028797609616777	rs8101673	0.167907735516448	0	0.0151	rs8101673	0.188
ENSG00000011143.16	4482	0.00977535880507147	0.456421267605111	0.0101686267485916	0.474734440432712	0.0489003064085147	rs2189681	0.189163481838301	0.0025	0.0807	rs62083740	0.3296
ENSG00000012779.10	5353	6.93283743438456e-12	0.381316237467059	1.07221896976825e-11	0.589707198793651	0.0289765637216351	rs6602880	0.353671720400715	1e-04	0.0117	rs6602880	0.4797
ENSG00000014641.17	3656	4.15362158110219e-43	0.697371843632556	1.56595946151285e-43	0.262876842170782	0.039751314196664	rs58235267	0.999998375231696	1e-04	0.0043	rs58235267	1
ENSG00000030110.12	14891	1.27968616959989e-17	1.10432227454154e-10	1.15879752928969e-07	0.999999807437487	7.65723304768504e-08	rs511515	0.291329680204851	0	0.144	rs511515	0.3673
ENSG00000041353.9	5861	0.0043511415140912	0.409039093210083	0.00468494626015494	0.440277530940377	0.141647288075295	rs1903141	0.0669119009296601	0.003	0.0705	rs12454487	0.0741
ENSG00000042493.15	5332	2.01998887845987e-19	0.0739355248827251	2.51467162433205e-18	0.920413111508203	0.00565136360907265	rs10175792	0.146204387728018	0	0.011	rs10175792	0.153
ENSG00000044090.8	5296	0.00218349375392546	0.187918915491718	0.00916346134786769	0.788626612216172	0.0121075171903172	rs4711748	0.222562288381247	0	0.0063	rs2273918	0.3816
ENSG00000047932.13	5303	1.05569164961803e-16	0.283999572982488	2.5869213482201e-16	0.695907129864662	0.0200932971528523	rs339297	0.176889515152104	0	0.0074	rs339297	0.1664
ENSG00000048544.5	5349	3.09221582770938e-28	3.86858197839632e-14	7.99315057811209e-15	0.99999999999995	2.49016999192356e-15	rs9369290	0.231617757490957	0	0.0013	rs10948027	0.0253
ENSG00000054148.17	5943	0.533042575609079	0.0731446261422839	0.340191902360396	0.046674520834861	0.00694637505338071	rs148111971	0.0201256710399843	1e-04	0.0018	rs148111971	0.0507
ENSG00000063660.8	7737	3.76475305954173e-15	0.206285619498748	1.42213900909288e-14	0.779231384832304	0.0144829956689309	rs76832527	0.795849906528349	0	0.01	rs76832527	0.7761
ENSG00000064999.13	5757	9.97825311439098e-05	0.535496012277789	7.64981177614833e-05	0.41048331615626	0.0538443909170453	rs9469899	0.0330091640689498	2e-04	0.0149	rs9469899	0.0393
ENSG00000065060.16	6031	4.39664032970636e-13	2.35951860069717e-09	3.85668234183156e-05	0.206180477574283	0.793780953242339	rs112283401	0.0253324484443213	0.6114	0.9998	rs11755393	0.0587
